2mm/0.080/12ga 3003 Aluminium Bend Correction Data,,
20mm flange lengths,,
,,
Test Bend Length (mm),Bend Correction (Degrees),Crown
100,5.9,0
150,5.1,0
180,5.1,0
200,5.3,0
240,5.55,0
275,6,0
300,6.3,0
328,6.3,0
350,6.5,0
381,6.5,0
400,6.5,0
425,6.5,0
475,6.6,0
502,6.7,0
598,6.9,0.12
672,6.9,0.13
750,7.1,0.15
808,7.7,0.16
838,7.8,0.17
919,8.3,0.18
1000,8.5,0.2
1079,8.5,0.22
1123,8.9,0.23
1200,9.05,0.24
1263,9.05,0.25
1311,9.55,0.26
1384,9.55,0.28
1400,9.55,0.28
1487,9.55,0.3
1550,9.55,0.31
1646,9.55,0.33
1743,9.55,0.35
1881,9.3,0.38
2000,9.6,0.4
2500,9.9,0.5
2750,9.9,0.5
3000,9.9,0.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
